Date,House Price Index,Real disposable personal income,Premium for Homeowner's Insurance Producer Index,Personal Saving Rate,New Houses Sold (in 1000s),New Houses for Sale (in 1000s),Monthly supply of new houses,"Expenditures: Maintenance, Repairs, Insurance, Other Expenses for Owned Dwelling",Expenditure: Mortage Interest,Expenditue: Property Tax,Employment Rate,Population(in 1000s),GDP ,Homeownership Rate,Rent Index
2020-04-01,217.446,51769,212.6,33.8,582,325,6.7,272.25,374,296.9166667,69.61172275,331680,93.06049604,68.1,340.264
2020-05-01,217.72,49244,213.2,24.8,706,312,5.3,272.25,374,296.9166667,71.33746515,331678,91.54216855,68.1,341.067
2020-06-01,218.165,48406,213.2,19.3,922,299,3.9,272.25,374,296.9166667,73.43030305,331718,93.34896415,68.1,341.558
2020-07-01,219.677,48683,213.4,18.7,1007,290,3.5,272.25,374,296.9166667,73.81117376,331777,95.1340491,67.4,342.262
2020-08-01,222.562,46872,213.4,15,1036,283,3.3,272.25,374,296.9166667,75.26443433,331839,96.89578096,67.4,342.63
2020-09-01,225.784,47132,214.3,14.3,991,284,3.4,272.25,374,296.9166667,75.21155332,331907,97.07676696,67.4,343.002
2020-10-01,229.356,46897,214.3,13.6,1001,281,3.4,272.25,374,296.9166667,76.03835397,331971,97.26164335,65.7,343.495
2020-11-01,232.613,46285,214.3,13,851,289,4.1,272.25,374,296.9166667,76.03953295,331996,97.46339076,65.7,343.708
2020-12-01,235.658,46371,215.2,14,871,300,4.1,272.25,374,296.9166667,76.31286215,331968,97.8319339,65.7,344.078
2021-01-01,238.772,51179,215.2,19.9,911,304,4,,,,76.42553386,331943,98.22581226,65.6,344.507
2021-02-01,241.888,46839,215.1,13.5,768,310,4.8,,,,76.60974509,331950,98.60381909,65.6,345.121
2021-03-01,245.847,57597,215.2,26.6,881,309,4.2,,,,76.89899263,331953,98.82408429,65.6,345.684
2021-04-01,250.051,48641,215.7,12.6,809,317,4.7,,,,76.9517294,331963,99.00011101,65.6,346.379
2021-05-01,254.593,47196,216.3,10.4,740,330,5.4,,,,77.06545124,332008,99.14812057,65.6,347.253
2021-06-01,259.276,46985,216,9.5,714,346,5.8,,,,77.06263015,332092,99.31457278,65.6,348.095
2021-07-01,263.318,47368,215.767,10.5,726,362,6,,,,77.81090683,332192,99.49025686,65.4,348.789
2021-08-01,267.067,47307,216.032,9.8,686,374,6.5,,,,77.94240681,332295,99.67107115,65.4,349.938
2021-09-01,270.258,46529,216.87,8.1,732,375,6.1,,,,78.10691665,332403,99.84827511,65.4,351.355
2021-10-01,273.106,46532,217.036,7.5,671,387,6.9,,,,78.37492595,332513,99.9982618,65.4,352.762
2021-11-01,276.367,46515,216.897,7.6,756,390,6.2,,,,78.90205989,332598,100.094689,65.4,354.191
2021-12-01,280.152,46425,216.824,8.7,839,389,5.6,,,,79.13349095,332640,100.1226132,65.4,355.544
2022-01-01,284.767,45579,216.541,5.8,831,394,5.7,,,,79.14972073,332684,100.0963554,65.4,357.476
2022-02-01,290.433,45600,216.652,5.8,790,396,6,,,,79.48429776,332750,100.0414153,65.4,359.501
2022-03-01,296.572,45430,217.544,5.3,715,411,6.9,,,,80.03390403,332812,,65.4,361.05
2022-04-01,301.02,45527,217.803,5.2,629,437,8.3,,,,79.93143101,332863,,,363.067
